Instrument,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
Australia 200,0.01,5%,0.2%,-0.413372,-0.248023,11:51 pm to 9:00 pm
Cheese-01Dec20,1,10%,2%,-0.000147,-0.000075,10:00 pm to 8:55 pm
Cheese-02Feb21,1,10%,2%,-0.000129,-0.000066,10:00 pm to 8:55 pm
Cheese-02Jun21,1,10%,2%,-0.000129,-0.000066,10:00 pm to 8:55 pm
Cheese-02Mar21,1,10%,2%,-0.000129,-0.000066,10:00 pm to 8:55 pm
Cheese-02Nov21,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Cheese-03Aug21,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Cheese-03Nov20,1,10%,2%,-0.000148,-0.000075,10:00 pm to 8:55 pm
Cheese-04Jan22,1,10%,2%,-0.000127,-0.000065,10:00 pm to 8:55 pm
Cheese-04May21,1,10%,2%,-0.000128,-0.000065,10:00 pm to 8:55 pm
Cheese-28Sep21,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Cheese-29Dec20,1,10%,2%,-0.000135,-0.000069,10:00 pm to 8:55 pm
Cheese-29Jun21,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Cheese-29Sep20,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Cheese-30Mar21,1,10%,2%,-0.000128,-0.000065,10:00 pm to 8:55 pm
Cheese-30Nov21,1,10%,2%,-0.000128,-0.000065,10:00 pm to 8:55 pm
Cheese-31Aug21,1,10%,2%,-0.000130,-0.000066,10:00 pm to 8:55 pm
Chicago SRW Wheat-12Mar21,0.1,10%,2%,-0.040615,-0.020691,12:00 am to 6:19 pm
Chicago SRW Wheat-14Dec20,0.1,10%,2%,-0.040081,-0.020419,12:00 am to 6:19 pm
Chicago SRW Wheat-14Jul21,0.1,10%,2%,-0.040928,-0.020850,12:00 am to 6:19 pm
Chicago SRW Wheat-14May21,0.1,10%,2%,-0.040965,-0.020869,12:00 am to 6:19 pm
Class III Milk-01Dec20,1,10%,0.33%,-0.001618,-0.001464,10:00 pm to 8:55 pm
Class III Milk-02Feb21,1,10%,0.33%,-0.001456,-0.001317,10:00 pm to 8:55 pm
Class III Milk-02Jun21,1,10%,0.33%,-0.001438,-0.001301,10:00 pm to 8:55 pm
Class III Milk-02Mar21,1,10%,0.33%,-0.001421,-0.001286,10:00 pm to 8:55 pm
Class III Milk-03Aug21,1,10%,0.33%,-0.001471,-0.001331,10:00 pm to 8:55 pm
Class III Milk-03Nov20,1,10%,0.33%,-0.001651,-0.001494,10:00 pm to 8:55 pm
Class III Milk-04May21,1,10%,0.33%,-0.001439,-0.001302,10:00 pm to 8:55 pm
Class III Milk-29Dec20,1,10%,0.33%,-0.001531,-0.001385,10:00 pm to 8:55 pm
Class III Milk-29Jun21,1,10%,0.33%,-0.001454,-0.001315,10:00 pm to 8:55 pm
Class III Milk-29Sep20,1,10%,0.33%,-0.001430,-0.001294,10:00 pm to 8:55 pm
Class III Milk-30Mar21,1,10%,0.33%,-0.001445,-0.001307,10:00 pm to 8:55 pm
Class III Milk-31Aug21,1,10%,0.33%,-0.001477,-0.001337,10:00 pm to 8:55 pm
Cocoa-13May21,0.001,10%,2%,-0.222337,-0.130579,8:45 am to 5:30 pm
Cocoa-15Dec20,0.001,10%,2%,-0.225361,-0.132355,8:45 am to 5:30 pm
Cocoa-15Dec21,0.001,10%,2%,-0.219450,-0.128883,8:45 am to 5:30 pm
Cocoa-15Jul21,0.001,10%,2%,-0.221812,-0.130271,8:45 am to 5:30 pm
Cocoa-15Sep21,0.001,10%,2%,-0.220850,-0.129706,8:45 am to 5:30 pm
Cocoa-16Mar21,0.001,10%,2%,-0.223344,-0.131170,8:45 am to 5:30 pm
Coffee-18Dec20,0.1,10%,2%,-0.006822,-0.002697,8:15 am to 5:30 pm
Coffee-18May21,0.1,10%,2%,-0.006996,-0.002766,8:15 am to 5:30 pm
Coffee-18May22,0.1,10%,2%,-0.007313,-0.002891,8:15 am to 5:30 pm
Coffee-18May23,0.1,10%,2%,-0.007570,-0.002993,8:15 am to 5:30 pm
Coffee-19Dec22,0.1,10%,2%,-0.007464,-0.002951,8:15 am to 5:30 pm
Coffee-19Jul22,0.1,10%,2%,-0.007359,-0.002909,8:15 am to 5:30 pm
Coffee-19Mar21,0.1,10%,2%,-0.006913,-0.002733,8:15 am to 5:30 pm
Coffee-20Dec21,0.1,10%,2%,-0.007200,-0.002846,8:15 am to 5:30 pm
Coffee-20Jul21,0.1,10%,2%,-0.007079,-0.002799,8:15 am to 5:30 pm
Coffee-20Sep21,0.1,10%,2%,-0.007138,-0.002822,8:15 am to 5:30 pm
Coffee-20Sep22,0.1,10%,2%,-0.007406,-0.002928,8:15 am to 5:30 pm
Coffee-21Mar22,0.1,10%,2%,-0.007264,-0.002872,8:15 am to 5:30 pm
Coffee-21Mar23,0.1,10%,2%,-0.007528,-0.002976,8:15 am to 5:30 pm
Copper-28Sep20,1,10%,0.66%,-0.000260,-0.000153,10:00 pm to 9:00 pm
Copper-29Dec20,1,10%,0.66%,-0.000260,-0.000153,10:00 pm to 9:00 pm
Copper-29Mar21,1,10%,0.66%,-0.000261,-0.000153,10:00 pm to 9:00 pm
Corn-12Mar21,0.1,10%,2%,-0.027485,-0.014002,12:00 am to 6:19 pm
Corn-14Dec20,0.1,10%,2%,-0.026877,-0.013692,12:00 am to 6:19 pm
Corn-14Dec21,0.1,10%,2%,-0.028230,-0.014381,12:00 am to 6:19 pm
Corn-14Jul21,0.1,10%,2%,-0.028138,-0.014334,12:00 am to 6:19 pm
Corn-14May21,0.1,10%,2%,-0.027871,-0.014198,12:00 am to 6:19 pm
Corn-14Sep21,0.1,10%,2%,-0.027871,-0.014198,12:00 am to 6:19 pm
Cotton-06May21,0.1,10%,2%,-0.004026,-0.001592,1:00 am to 6:20 pm
Cotton-08Dec20,0.1,10%,2%,-0.003941,-0.001558,1:00 am to 6:20 pm
Cotton-08Dec21,0.1,10%,2%,-0.003948,-0.001561,1:00 am to 6:20 pm
Cotton-08Jul21,0.1,10%,2%,-0.004064,-0.001607,1:00 am to 6:20 pm
Cotton-08Oct20,0.1,10%,2%,-0.003902,-0.001543,1:00 am to 6:20 pm
Cotton-09Mar21,0.1,10%,2%,-0.003985,-0.001575,1:00 am to 6:20 pm
Crude Oil-20Apr21,0.1,10%,0.33%,-0.009928,-0.007257,10:00 pm to 9:00 pm
Crude Oil-20Aug21,0.1,10%,0.33%,-0.010097,-0.007381,10:00 pm to 9:00 pm
Crude Oil-20Jan21,0.1,10%,0.33%,-0.009725,-0.007109,10:00 pm to 9:00 pm
Crude Oil-20Jul21,0.1,10%,0.33%,-0.010063,-0.007356,10:00 pm to 9:00 pm
Crude Oil-20May21,0.1,10%,0.33%,-0.009982,-0.007297,10:00 pm to 9:00 pm
Crude Oil-22Feb21,0.1,10%,0.33%,-0.009800,-0.007164,10:00 pm to 9:00 pm
Crude Oil-22Jun21,0.1,10%,0.33%,-0.010025,-0.007328,10:00 pm to 9:00 pm
Crude Oil-22Mar21,0.1,10%,0.33%,-0.009868,-0.007214,10:00 pm to 9:00 pm
Feeder Cattle-19Nov20,0.1,10%,2%,-0.010316,-0.005255,1:30 pm to 6:00 pm
Feeder Cattle-25Mar21,0.1,10%,2%,-0.010182,-0.005187,1:30 pm to 6:00 pm
Feeder Cattle-27May21,0.1,10%,2%,-0.010352,-0.005273,1:30 pm to 6:00 pm
Feeder Cattle-28Jan21,0.1,10%,2%,-0.010217,-0.005205,1:30 pm to 6:00 pm
Feeder Cattle-29Apr21,0.1,10%,2%,-0.010287,-0.005241,1:30 pm to 6:00 pm
Feeder Cattle-29Oct20,0.1,10%,2%,-0.010330,-0.005263,1:30 pm to 6:00 pm
Gasoline-30Nov20,0.1,10%,1%,-0.000054,-0.000011,10:00 pm to 9:00 pm
Gasoline-30Oct20,0.1,10%,1%,-0.000054,-0.000012,10:00 pm to 9:00 pm
Gasoline-30Sep20,0.1,10%,1%,-0.000056,-0.000012,10:00 pm to 9:00 pm
