Instrument,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
AUD/BGN,5000,5%,1%,-0.000012,-0.000082,00:00 to 24:00
AUD/CAD,500,5%,0.5%,-0.000027,-0.000075,00:00 to 24:00
AUD/CHF,500,5%,2%,0.000001,-0.000054,00:00 to 24:00
AUD/CNH,1000,5%,2%,-0.000569,-0.000067,00:00 to 24:00
AUD/CZK,5000,5%,1%,-0.000168,-0.001024,00:00 to 24:00
AUD/DKK,5000,5%,1%,-0.000046,-0.000281,00:00 to 24:00
AUD/GBP,500,5%,0.2%,-0.000010,-0.000043,00:00 to 24:00
AUD/HKD,2000,5%,2%,-0.000115,-0.000301,00:00 to 24:00
AUD/ILS,5000,5%,1%,-0.000029,-0.000139,00:00 to 24:00
AUD/JPY,1000,5%,0.5%,-0.001237,-0.004225,00:00 to 24:00
AUD/MXN,1000,5%,1%,-0.001186,-0.000331,00:00 to 24:00
AUD/NOK,5000,5%,1%,-0.000079,-0.000355,00:00 to 24:00
AUD/NZD,500,5%,0.5%,-0.000050,-0.000059,00:00 to 24:00
AUD/PLN,5000,5%,1%,-0.000112,-0.000114,00:00 to 24:00
AUD/RON,5000,5%,1%,-0.000161,-0.000114,00:00 to 24:00
AUD/SEK,5000,5%,1%,0.000007,-0.000490,00:00 to 24:00
AUD/SGD,5000,5%,1%,-0.000015,-0.000054,00:00 to 24:00
AUD/TRY,5000,5%,5%,-0.002278,0.000082,00:00 to 24:00
AUD/USD PRO,10000,5%,0.5%,-0.000019,-0.000030,00:00 to 24:00
AUD/USD,500,5%,0.2%,-0.000019,-0.000030,00:00 to 24:00
AUD/ZAR,5000,5%,1%,-0.001829,-0.000234,00:00 to 24:00
BGN/AUD,5000,5%,1%,-0.000059,-0.000009,00:00 to 24:00
BGN/DKK,1000,5%,2%,-0.000148,-0.000122,00:00 to 24:00
BGN/HUF,5000,5%,1%,-0.009038,-0.003615,00:00 to 24:00
BGN/JPY,1000,5%,1%,-0.002843,-0.001657,00:00 to 24:00
