Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
0001,CK Hutchison,30,20%,10%,-0.015169,-0.008069,1:36 am to 6:56 am
0002,CLP Holdings Ltd.,25,20%,10%,-0.024104,-0.012821,1:36 am to 6:56 am
0003,The Hong Kong and China Gas Company Ltd.,100,20%,10%,-0.003672,-0.001953,1:36 am to 6:56 am
0004,The Wharf Ltd.,50,20%,10%,-0.004860,-0.002585,1:36 am to 6:56 am
0011,Hang Seng Bank Ltd.,10,20%,10%,-0.036409,-0.019366,1:36 am to 6:56 am
0016,Sun Hung Kai Properties Ltd.,15,20%,10%,-0.032035,-0.017040,1:36 am to 6:56 am
0023,"Bank of East Asia, Ltd.",100,20%,10%,-0.004631,-0.002464,1:36 am to 6:56 am
0066,MTR Corporation Ltd.,50,20%,10%,-0.012917,-0.006871,1:36 am to 6:56 am
0175,Geely Automobile Holdings Ltd.,150,20%,10%,-0.004945,-0.002630,1:36 am to 6:56 am
0267,CITIC Ltd.,250,20%,10%,-0.001856,-0.000987,1:36 am to 6:56 am
0291,China Resources Beer Company Ltd.,50,20%,10%,-0.015136,-0.008051,1:36 am to 6:56 am
0388,Hong Kong Exchanges and Clearing Ltd.,10,20%,10%,-0.116423,-0.061927,1:36 am to 6:56 am
0390,China Railway Group Ltd.,1,20%,10%,-0.001209,-0.000643,1:36 am to 6:56 am
0688,China overseas,50,20%,10%,-0.006322,-0.003363,1:36 am to 6:56 am
0700,Tencent Holdings Ltd,10,20%,10%,-0.155617,-0.078579,1:36 am to 6:56 am
0728,China Telecom Corporation Limited,1,20%,10%,-0.000775,-0.000412,1:36 am to 6:56 am
0762,China Unicom (Hong Kong) Limited.,1,20%,10%,-0.001722,-0.000916,1:36 am to 6:56 am
0857,PetroChina Company Limited.,1,20%,10%,-0.000765,-0.000407,1:36 am to 6:56 am
0883,CNOOC Ltd.,150,20%,10%,-0.002436,-0.001296,1:36 am to 6:56 am
0916,China Longyuan Power Group Corporation Limited,1,20%,10%,-0.001511,-0.000804,1:36 am to 6:56 am
0939,China Construction Bank Corporation,1,20%,10%,-0.001647,-0.000876,1:36 am to 6:56 am
1088,China Shenhua Energy Company Ltd.,100,20%,10%,-0.004410,-0.002345,1:36 am to 6:56 am
1299,AIA Group Ltd.,100,20%,20%,-0.025287,-0.013451,1:36 am to 6:56 am
1810,Xiaomi Corp,1,20%,5%,-0.007030,-0.002343,1:36 am to 6:56 am
1COV,Covestro AG,1,20%,5%,-0.011910,-0.009119,7:00 am to 3:30 pm
2318,"Ping An Insurance Company of China, Ltd.",25,20%,10%,-0.026185,-0.013928,1:36 am to 6:56 am
2628,China Life Insurance Company Ltd.,150,20%,10%,-0.005598,-0.002977,1:36 am to 6:56 am
2914,Japan Tobacco Inc,1,20%,5%,-0.433901,-0.494181,12:00 am to 6:00 am
3328,"Bank of Communications Co., Ltd.",300,20%,10%,-0.001203,-0.000640,1:36 am to 6:56 am
3382,"Seven & i Holdings Co., Ltd.",1,20%,5%,-0.735968,-0.838211,12:00 am to 6:00 am
3836,China Harmony New Energy Auto Holding Ltd,1,20%,5%,-0.000981,-0.000522,1:36 am to 6:56 am
3988,Bank Of China Ltd.,1000,20%,10%,-0.000785,-0.000418,1:36 am to 6:56 am
4063,Shin-Etsu Chemical Co Ltd,5,20%,20%,-3.096125,-3.526250,12:00 am to 6:00 am
4452,Kao Corp,10,20%,20%,-1.786764,-2.034988,12:00 am to 6:00 am
4502,Takeda Pharmaceutical Company Limited,1,20%,5%,-0.872020,-0.993164,12:00 am to 6:00 am
4503,Astellas Pharma Inc,1,20%,5%,-0.360549,-0.410638,12:00 am to 6:00 am
4578,Otsuka Holdings Ltd,10,20%,20%,-1.007518,-1.147486,12:00 am to 6:00 am
