Instrument,Company,CurrencyCode,ISIN,MinTradedQty,MarketName,MarketH
1COV,Covestro AG,EUR,DE0006062144,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
1SI,Snap Inc.,EUR,US83304A1060,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
2AAP,Leverage Shares 2x Apple ETP,GBX,IE00BF03XJ35,1,London Stock Exchange,7:01 am to 3:30 pm
2AMD,Leverage Shares 2x Advanced Micro Devices ETP,GBX,IE00BKT6ZG93,1,London Stock Exchange,7:01 am to 3:30 pm
2AME,Leverage Shares 2x Advanced Micro Devices ETP,EUR,IE00BKT6ZG93,1,London Stock Exchange,7:01 am to 3:30 pm
2AMZ,Leverage Shares 2x Amazon ETP,GBX,IE00BF03XH11,0.01,London Stock Exchange,7:01 am to 3:30 pm
2B7K,iShares MSCI World SRI EUR UCITS ETF EUR (Acc),EUR,IE00BYX2JD69,0.2,Deutsche Börse Xetra,7:00 am to 3:30 pm
2BAB,Leverage Shares 2x Alibaba ETP,GBX,IE00BK5C1C97,1,London Stock Exchange,7:01 am to 3:30 pm
2BAE,Leverage Shares 2x Alibaba ETP,EUR,IE00BK5C1C97,1,London Stock Exchange,7:01 am to 3:30 pm
2CIT,Leverage Shares 2x Citigroup ETP,GBX,IE00BF03XL56,1,London Stock Exchange,7:01 am to 3:30 pm
2CRM,Leverage Shares 2x Salesforce ETP,GBX,IE00BD09ZY63,1,London Stock Exchange,7:01 am to 3:30 pm
2FB,Leverage Shares 2x Facebook ETP,GBX,IE00BF03XP94,1,London Stock Exchange,7:01 am to 3:30 pm
2GOO,Leverage Shares 2x Alphabet ETP,GBX,IE00BF01VY89,1,London Stock Exchange,7:01 am to 3:30 pm
2GS,Leverage Shares 2x Goldman Sachs ETP,GBX,IE00BF03XR19,1,London Stock Exchange,7:01 am to 3:30 pm
2JPM,Leverage Shares 2x JPMorgan Chase & Co. ETP,GBX,IE00BF03XW61,1,London Stock Exchange,7:01 am to 3:30 pm
2MSF,Leverage Shares 2x Microsoft Corporation ETP,GBX,IE00BF03XY85,1,London Stock Exchange,7:01 am to 3:30 pm
2MU,Leverage Shares 2x Micron Technology ETP,GBX,IE00BKT66K01,1,London Stock Exchange,7:01 am to 3:30 pm
2MUE,Leverage Shares 2x Micron Technology ETP,EUR,IE00BKT66K01,1,London Stock Exchange,7:01 am to 3:30 pm
2NFL,Leverage Shares 2x Netflix ETP,GBX,IE00BD09ZW40,1,London Stock Exchange,7:01 am to 3:30 pm
2NVD,Leverage Shares 2x Nvidia ETP,GBX,IE00BD09ZX56,1,London Stock Exchange,7:01 am to 3:30 pm
2TSE,Leverage Shares 2x Tesla ETP,EUR,IE00BK5BZY66,1,London Stock Exchange,7:01 am to 3:30 pm
2TSL,Leverage Shares 2x Tesla ETP,GBX,IE00BK5BZY66,1,London Stock Exchange,7:01 am to 3:30 pm
2TWE,Leverage Shares 2x Twitter ETP,EUR,IE00BKT66J95,1,London Stock Exchange,7:01 am to 3:30 pm
2TWT,Leverage Shares 2x Twitter ETP,GBX,IE00BKT66J95,1,London Stock Exchange,7:01 am to 3:30 pm
2UBE,Leverage Shares 2x Uber ETP,EUR,IE00BKT66L18,1,London Stock Exchange,7:01 am to 3:30 pm
2UBR,Leverage Shares 2x Uber ETP,GBX,IE00BKT66L18,1,London Stock Exchange,7:01 am to 3:30 pm
2VIS,Leverage Shares 2x Visa ETP,GBX,IE00BD09ZV33,1,London Stock Exchange,7:01 am to 3:30 pm
36B3,iShares MSCI Europe SRI UCITS ETF EUR (Dist),EUR,IE00BGDPWW94,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
36BZ,iShares MSCI China A UCITS ETF USD (Acc),EUR,IE00BQT3WG13,0.1,Deutsche Börse Xetra,7:00 am to 3:30 pm
3AAP,Leverage Shares 3x Apple ETP,GBX,IE00BK5BZS07,1,London Stock Exchange,7:01 am to 3:30 pm
3AME,Leverage Shares 3x Amazon ETP,EUR,IE00BK5BZQ82,1,London Stock Exchange,7:01 am to 3:30 pm
3AMZ,Leverage Shares 3x Amazon ETP,GBX,IE00BK5BZQ82,1,London Stock Exchange,7:01 am to 3:30 pm
3APE,Leverage Shares 3x Apple ETP,EUR,IE00BK5BZS07,1,London Stock Exchange,7:01 am to 3:30 pm
